"","eidid","eid_name","data_quality","path_genus","path_species","path_common","path_subgroup","path_disease","event_location","map_type","no_map_objects","sourcenotes_original","sourcenotes_ceisin","transtype_zoo_t","transtype_zoo_pd","zoo_origin","zoo_origin_type","path_type","transmode_descrip","transmode_1_descrip","transmode_1_contact","transmode_2_code","transmode_3_code","transtype_human","path_acquisition","path_vector","event_date","event_year","event_decade","event_ref","event_type","drivers_ref","drivers","driver_1","driver_1_iom","driver_1_pd","driver_pd_reclass","driver_2","driver_3","path_reservoir","path_georange","path_hosteffect","eid_ref","notes","geo_data_qual_1","geo_data_qual_12","yr1","yr2","filename","wildlife_zoonoses"
"1",1,"HED_1",1,"Acinetobacter","baumannii","Unspecified","gentamycin-res","Unspecified","Sir Charles Gairdner Hospital, Perth, Australia","1",1,"GGv2. ""Perth, Australia""","GGv2. ""Perth, Australia""","no",0,0,0,"bacteria","Outbreaks caused by Acinetobacter spp. have been traced to environmental sources such as patient mattresses, air conditioners, and parts of the ventilation equipment. 4±6 A. baumannii can be found in up to 25% of normal human skin flora, and dissemination, via contaminated hands of hospital personnel during outbreaks, has been demonstrated. This pathogen is usually acquired exogenously, as it grows in moist environments and also survives on the dry surfaces found in ICUs. However, the usual means of transmission is via the hands of ICU staff, although several outbreaks have also been associated with contaminated nebuliser reservoirs or fibreoptic bronchoscopes.","hands of hospital staff","indirect contact","fomites (nebulisers, air conditioners, etc.)","None","y","nosocomial","None","Feb-93",1993,"1990","www.mja.com.au/public/issues/177_06_160902/col10836_fm.html; Riley T. 1996. Pathology. 28:359-63.","","BERGOGNEBEREZIN E NOSOCOMIAL INFECTIONS - NEW PATHOGENS, INCIDENCE, PREVENTION PRESSE MEDICALE 24 (2): 89-& JAN 14 1995","antibiotic resistance","antibiotic-resistance","microbial adaptation and change","antimicrobial agent use","antimicrobial agent use","None","None","None","Unspecified","attack rate, death rate?","Bergogne-Bérézin E, Joly-Guillou ML: Hospital infection with Acinetobacter spp.: an increasing problem. Journal of Hospital Infection (1991) 18, Supplement A: 250–255. Bergogne-Bérézin E: Acinetobacter spp. as nosocomial pathogens:microbiological, clinical, and epidemiological features.Clinical Microbiology Reviews (1996) 9 : 148–165. and many others","AC Burke reports ""acinetobacter is not a new or emerging phenomenon, but A. baumannii has always been an organism inherently resistant to multiple antibiotics. Www. Emedicine.com/med/topic3456.htm possibly such (check) as penmicillins, most antipseudomonal penicillins, fist and second generation cephalosporins, gentamicin, aztreonam, and chloramphenicol",1,1,1,1,"HED_1.shp",FALSE
"2",2,"HED_2",1,"Acinetobacter","baumannii","Unspecified","imipenem-res","Unspecified","Edinburgh Royal Infirmary Ecosse, Scotland","1",1,"GGv2. ""Edinburgh, UK""","GGv2. ""Edinburgh, UK""","no",0,0,0,"bacteria","Outbreaks caused by Acinetobacter spp. have been traced to environmental sources such as patient mattresses, air conditioners, and parts of the ventilation equipment. 4±6 A. baumannii can be found in up to 25% of normal human skin flora, and dissemination, via contaminated hands of hospital personnel during outbreaks, has been demonstrated. This pathogen is usually acquired exogenously, as it grows in moist environments and also survives on the dry surfaces found in ICUs. However, the usual means of transmission is via the hands of ICU staff, although several outbreaks have also been associated with contaminated nebuliser reservoirs or fibreoptic bronchoscopes.","hands of hospital staff","indirect contact","fomites (nebulisers, air conditioners, etc.)","None","y","nosocomial","None","1985",1985,"1980","Paton, R., Miles, R. S., Hood, J. & Amyes, S. G. B. (1993). ARI-1: beta-lactamase-mediated imipenem resistance in Acinetobacter baumannii. International Journal of Antimicrobial Agents 2, 81–8.","","Afzal-Shah M. JAC. 1998. 41:576-7.","produced ARI-1, a plasmid-mediated carbapenemase","antibiotic-resistance","microbial adaptation and change","antimicrobial agent use","antimicrobial agent use","None","None","None","Unspecified","Unspecified","Bergogne-Bérézin E, Joly-Guillou ML: Hospital infection with Acinetobacter spp.: an increasing problem. Journal of Hospital Infection (1991) 18, Supplement A: 250–255. Bergogne-Bérézin E: Acinetobacter spp. as nosocomial pathogens:microbiological, clinical, and epidemiological features.Clinical Microbiology Reviews (1996) 9 : 148–165. and many others","AC Burke reports ""acinetobacter is not a new or emerging phenomenon, but A. baumannii has always been an organism inherently resistant to multiple antibiotics. Www. Emedicine.com/med/topic3456.htm possibly such (check) as penmicillins, most antipseudomonal penicillins, fist and second generation cephalosporins, gentamicin, aztreonam, and chloramphenicol",1,1,1,1,"HED_2.shp",FALSE
"3",3,"HED_3",1,"Acinetobacter","baumannii","Unspecified","polymixin-res","Unspecified","NY Hospital Med Ctr of Queens, Flushing, NY","1",1,"multimap.com/. ""NY Hospital Med Ctr of Queens, Flushing, NY""","multimap.com/. ""NY Hospital Med Ctr of Queens, Flushing, NY""","no",0,0,0,"bacteria","Outbreaks caused by Acinetobacter spp. have been traced to environmental sources such as patient mattresses, air conditioners, and parts of the ventilation equipment. 4±6 A. baumannii can be found in up to 25% of normal human skin flora, and dissemination, via contaminated hands of hospital personnel during outbreaks, has been demonstrated. This pathogen is usually acquired exogenously, as it grows in moist environments and also survives on the dry surfaces found in ICUs. However, the usual means of transmission is via the hands of ICU staff, although several outbreaks have also been associated with contaminated nebuliser reservoirs or fibreoptic bronchoscopes.","hands of hospital staff","indirect contact","fomites (nebulisers, air conditioners, etc.)","None","y","nosocomial","None","2001",2001,"2000","Carl Urban, Noriel Mariano, and James J. Rahal. Polymyxin B-Resistant Acinetobacter baumannii Clinical Isolate Susceptible to Recombinant BPI21 and Cecropin P1. Antimicrob Agents Chemother. 2001 March; 45 (3): 994–995","","Unspecified","antimicrobial selective pressure and dissemination of clonal strains","antibiotic-resistance","microbial adaptation and change","antimicrobial agent use","antimicrobial agent use","None","None","None","Unspecified","Unspecified","Bergogne-Bérézin E, Joly-Guillou ML: Hospital infection with Acinetobacter spp.: an increasing problem. Journal of Hospital Infection (1991) 18, Supplement A: 250–255. Bergogne-Bérézin E: Acinetobacter spp. as nosocomial pathogens:microbiological, clinical, and epidemiological features.Clinical Microbiology Reviews (1996) 9 : 148–165. and many others","AC Burke reports ""acinetobacter is not a new or emerging phenomenon, but A. baumannii has always been an organism inherently resistant to multiple antibiotics. Www. Emedicine.com/med/topic3456.htm possibly such (check) as penmicillins, most antipseudomonal penicillins, fist and second generation cephalosporins, gentamicin, aztreonam, and chloramphenicol",1,1,1,0,"HED_3.shp",FALSE
"4",4,"HED_4",1,"Acinetobacter","baumannii","Unspecified","carbapenem/cephalosporin/azrteonam/aminoglyciside/cipro-res","PDRAB (pandrug-res A. Baumannii)","National Taiwan University Hospital, Taipei, Taiwan","1",1,"GGv2. ""T'ai-pei, Taiwan""","GGv2. ""T'ai-pei, Taiwan""","no",0,0,0,"bacteria","Outbreaks caused by Acinetobacter spp. have been traced to environmental sources such as patient mattresses, air conditioners, and parts of the ventilation equipment. 4±6 A. baumannii can be found in up to 25% of normal human skin flora, and dissemination, via contaminated hands of hospital personnel during outbreaks, has been demonstrated. This pathogen is usually acquired exogenously, as it grows in moist environments and also survives on the dry surfaces found in ICUs. However, the usual means of transmission is via the hands of ICU staff, although several outbreaks have also been associated with contaminated nebuliser reservoirs or fibreoptic bronchoscopes.","hands of hospital staff","indirect contact","fomites (nebulisers, air conditioners, etc.)","None","y","nosocomial","None","May-98",1998,"1990","Hsueh Po-Ren. EID. 2002. 8(8): 827-32.","","Hsueh Po-Ren. EID. 2002. 8(8): 827-32.","selective pressure (increased use of carbapanaems and cipro) as well as clonal dissemination","antibiotic resistance","microbial adaptation and change","antimicrobial agent use","antimicrobial agent use","None","None","None","Unspecified","Unspecified","Bergogne-Bérézin E, Joly-Guillou ML: Hospital infection with Acinetobacter spp.: an increasing problem. Journal of Hospital Infection (1991) 18, Supplement A: 250–255. Bergogne-Bérézin E: Acinetobacter spp. as nosocomial pathogens:microbiological, clinical, and epidemiological features.Clinical Microbiology Reviews (1996) 9 : 148–165. and many others","AC Burke reports ""acinetobacter is not a new or emerging phenomenon, but A. baumannii has always been an organism inherently resistant to multiple antibiotics. Www. Emedicine.com/med/topic3456.htm possibly such (check) as penmicillins, most antipseudomonal penicillins, fist and second generation cephalosporins, gentamicin, aztreonam, and chloramphenicol",1,1,1,1,"HED_4.shp",FALSE
"5",5,"HED_5",1,"Bacillus","anthracis","Unspecified","Unspecified","Anthrax","Sverdlovsk (now Yekaterinburg), north central Russia","1",1,"GGv2. ""Yekaterinburg, Russia""","GGv2. ""Yekaterinburg, Russia""","yes",1,1,3,"bacteria","Infection of skin by contact with infected animal tissues and possible by biting flies feeding on such animals, or by contaminated hair, wool, hides or products made from them; inhalation anthrax results from inhalation of spores in contaminated soil areas, dried or processed skins and hides of infected animals; intestinal anthrax from ingestion of contaminated undercooked meat","inhalation of aerosolized spores","direct contact","contact of tissue of animals","ingestion of meat","rare","","None","02-Apr-79",1979,"1970","Meselson M. Science. 266:1202-8. 1994.","","Unspecified","laboratory spill","lab work","technology and industry","medical industry changes","medical industry changes","None","None","normally herbivores, both livestock and wildlife","Unspecified","Unspecified","Taylor et al.","",1,1,1,0,"HED_5.shp",TRUE
"6",6,"HED_6",1,"Bacillus","anthracis","Unspecified","Unspecified","Anthrax","Trenton, NJ","1",1,"GGv2. ""Trenton, US, New Jersey""","GGv2. ""Trenton, US, New Jersey""","yes",1,0,0,"bacteria","Infection of skin by contact with infected animal tissues and possible by biting flies feeding on such animals, or by contaminated hair, wool, hides or products made from them; inhalation anthrax results from inhalation of spores in contaminated soil areas, dried or processed skins and hides of infected animals; intestinal anthrax from ingestion of contaminated undercooked meat","inhalation of aerosolized spores","direct contact","contact of tissue of animals","ingestion of meat","rare","","None","Sept. 18, 2001",2001,"2000","EID 2001. http://www.fas.org/bwc/news/anthraxreport.htm","","Unspecified","bioterrorism","bioterrorism","intent to harm","intent to harm","intent to harm","None","None","normally herbivores, both livestock and wildlife","Unspecified","Unspecified","Taylor et al.","",1,1,1,0,"HED_6.shp",FALSE
"7",7,"HED_7",0,"Bartonella","bacilliformis","Unspecified","Unspecified","Oroya fever","foothills of the Andes mountains (Rimac Valley), Peru --- use Lima, Peru","1",1,"GGv2. ""Lima, Peru""","GGv2. ""Lima, Peru""","no",0,0,0,"bacteria","sand fly-borne","arthropod-borne","vector","None","None","n except for tranfused blood","","Lutzomyia (Phlebotomus) verrucarum (common name sandfly)","1871",1871,"1870","Ellis B.A., Rotz L.D., Leake J.A.D., Samalvides F., Bernable J., Ventura G., Padilla C., Villaseca P., Beati L., Regnery R., Childs J.E., Olson J.G., Carrillo C.P., An outbreak of acute bartonellosis [Oroya fever] in the Urubama region of Peru, Am. J. Trop. Med. Hyg. 61 (1999) 344–349. Karem KL, Paddock CD, Regnery RL Bartonella henselae, B-quintana, and B acilliformis: historical pathogens of emerging significance MICROBES INFECT 2 (10): 1193-1205 AUG 2000; Ihler G.M., Bartonella bacilliformis: dangerous pathogen slowly emerging from deep background, FEMS Microbiol. Lett. 144 (1996) 1–11.","emergence-2","Karem KL, Paddock CD, Regnery RL Bartonella henselae, B-quintana, and B bacilliformis: historical pathogens of emerging significance MICROBES INFECT 2 (10): 1193-1205 AUG 2000. EI1 p. 147.","railway workers were brought in from distant regions to the Peruvian Andes to complete construction of the railway with the highest altitude in the world, the Central Railway from Lima to Oroya","railway construction in rural areas","economic development and land use","encroachment","land use change","None","None","None","geographic distribution of bartonellosis is traditionally restricted to remote Andean valleys in Peru, Ecuador, and Colombia situated at elevations of 500–3,000 meters,","killed more than 7000 of the 10000 workers building the railroad between Lima and La Oroya","Unspecified","",0,0,0,0,"HED_7.shp",FALSE
"8",8,"HED_8",1,"Bartonella","bacilliformis","Unspecified","Unspecified","Oroya fever","Pajan (village), province of Manabi, Ecuador","1",1,"GGv2. ""Pajan, Ecuador""","GGv2. ""Pajan, Ecuador""","no",0,0,0,"bacteria","sand fly-borne","arthropod-borne","vector","None","None","n except for tranfused blood","","Lutzomyia (Phlebotomus) (common name sandfly)","1987",1987,"1980","Amano Y, Rumbea J, Knobloch J, Olson J, Kron M. Bartonellosis in Ecuador: serosurvey and current status of cutaneous verrucous disease. Am J Trop Med Hyg. 1997 Aug;57(2):174-9.","reemergence-2","Birtles RJ, Raoult D. The genera Afipia and Bartonella. P. 1-31 In: Bartonella and Afipia species emphasizing bartonella henselae ed. A Schmidt Contributions to Microbiology Vol. 1 1998. Karger: Basel","border disputes/military/human influx/agricultural exploits","military","international travel and commerce","war and famine","war and famine","agricultural exploits","None","None","geographic distribution of bartonellosis is traditionally restricted to remote Andean valleys in Peru, Ecuador, and Colombia situated at elevations of 500–3,000 meters,","Unspecified","Unspecified","",1,1,1,1,"HED_8.shp",FALSE
"9",9,"HED_9",1,"Bartonella","bacilliformis","Unspecified","chloramphenicol-res","Unspecified","Peru","3",1,"ESRICountry00. ""Peru""","Country name ""Peru""","no",0,0,0,"bacteria","sand fly-borne","arthropod-borne","vector","None","None","n except for tranfused blood","","Lutzomyia (Phlebotomus) (common name sandfly)","circa 1988",1988,"1980","Dr. H. Guerra, Universidad Cayetano Heredia, Lima, Peru, unpubl. Obs. In Birtles RJ, Raoult D. The genera Afipia and Bartonella. P. 1-31 In: Bartonella and Afipia species emphasizing bartonella henselae ed. A Schmidt Contributions to Microbiology Vol. 1 1998. Karger: Basel","","Unspecified","antimicrobial selective pressure and dissemination of clonal strains","antibiotic-resistance","microbial adaptation and change","antimicrobial agent use","antimicrobial agent use","None","None","None","Unspecified","Unspecified","Unspecified","",0,0,1,1,"HED_9.shp",FALSE
"10",10,"HED_10",1,"Bartonella","elizabethae","Unspecified","Unspecified","Endocarditis","St. Elizabeth's Hospital, Brighton, MA","1",1,"multimap.com/.""St. Elizabeth's Hospital, Brighton, MA""","multimap.com/.""St. Elizabeth's Hospital, Brighton, MA""","yes",1,1,2,"bacteria","The means of transmission of B. elizabethae is unknown, but is believed to be via an arthropod vector. The Norway rat (Rattus noregicus) is the only local reservoir of B. elizabethae. I believe that B. elizabethae is transmitted from rat to rat and between rats and humans by this unknown vector. I also believe that B. elizabethae infection is being amplified among the IV drug using population of Baltimore by the practice of sharing needles.","IV drug use","indirect contact","arthropod-borne","None","","","unspecified","1986",1986,"1980","Daly, JS, Worthington, MG, Brenner, DJ, Moss, CW, et al. Rochalimaea elizabethae sp. nov. isolated from a patient with endocarditis. J Clin Microbiol 1993; 31:872–881. W.J. Warwick. Prog. Med.Virol. 9:256. 1967. AM Margileth. Pediatrics. 42: 803. 1968","emergence","EI1 p. 155","immunocompetency","immunosuppression","human susceptibility to infection","human susceptibility to infection increase","human susceptibility to infection increase","None","None","Norway rat (R. norvegicus)","Unspecified","Unspecified","Comer 2001","",1,1,1,1,"HED_10.shp",TRUE
